epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12412.9,0.32989,0.22453,0.87477,0.99666,0.99773,0.99455,0.98785,0.17989,0.12944,0.76165,0.005842,0.005842,0.005842
44,12701.6,0.32255,0.22002,0.87344,0.996,0.99823,0.99441,0.98771,0.18372,0.13061,0.76283,0.005743,0.005743,0.005743
45,12990,0.32379,0.22036,0.87523,0.99503,0.9987,0.99442,0.98811,0.17427,0.12502,0.75537,0.005644,0.005644,0.005644
46,13278.9,0.3211,0.219,0.87039,0.99731,0.9982,0.99439,0.98861,0.17208,0.1242,0.75391,0.005545,0.005545,0.005545
47,13567.9,0.31518,0.21287,0.86779,0.99509,0.99728,0.99435,0.9885,0.17046,0.12483,0.75792,0.005446,0.005446,0.005446
48,13857,0.31454,0.21395,0.8697,0.99558,0.99796,0.99435,0.98873,0.16906,0.12091,0.75832,0.005347,0.005347,0.005347
49,14145.7,0.31214,0.21304,0.86867,0.99414,0.99814,0.9943,0.98741,0.17673,0.12583,0.75512,0.005248,0.005248,0.005248
50,14434.5,0.30671,0.21027,0.86458,0.99694,0.9983,0.99475,0.98935,0.1614,0.11577,0.75318,0.005149,0.005149,0.005149
51,14723.4,0.30575,0.20959,0.86492,0.99484,0.99768,0.99449,0.98774,0.18045,0.12623,0.75437,0.00505,0.00505,0.00505
52,15012.4,0.29733,0.20613,0.86046,0.99731,0.99842,0.99472,0.98921,0.16979,0.11716,0.75362,0.004951,0.004951,0.004951
53,15301.3,0.29841,0.20556,0.86448,0.99685,0.99862,0.99453,0.98811,0.17446,0.11827,0.75466,0.004852,0.004852,0.004852
54,15590.1,0.30087,0.20534,0.86352,0.99738,0.99777,0.9946,0.98935,0.1641,0.11537,0.75057,0.004753,0.004753,0.004753
55,15878.8,0.29323,0.20277,0.86115,0.99777,0.99842,0.99491,0.99018,0.15852,0.11212,0.74893,0.004654,0.004654,0.004654
