epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6304.52,0.50072,0.45887,0.32485,0.91315,0.98862,0.98522,0.99376,0.94795,0.98807,0.98482,0.99343,0.87904,0.34841,0.37081,0.23625,0.81298,0.0014258,0.0014258,0.0014258
31,6513.79,0.50417,0.44859,0.32562,0.91471,0.98356,0.98428,0.99106,0.94,0.98337,0.98409,0.99104,0.87393,0.3592,0.3813,0.24517,0.82342,0.001406,0.001406,0.001406
32,6722.31,0.48761,0.44707,0.31294,0.89871,0.99088,0.9932,0.99368,0.96146,0.98996,0.99159,0.9934,0.87889,0.30563,0.34522,0.22188,0.80152,0.0013862,0.0013862,0.0013862
33,6931.7,0.4835,0.44165,0.31043,0.90321,0.98959,0.99086,0.99361,0.96155,0.98976,0.98947,0.99351,0.88822,0.29967,0.34244,0.21328,0.8059,0.0013664,0.0013664,0.0013664
34,7142.02,0.49277,0.44154,0.31315,0.90598,0.97779,0.97239,0.98953,0.88168,0.97703,0.96983,0.98865,0.80586,0.54599,0.43589,0.30154,0.93422,0.0013466,0.0013466,0.0013466
35,7351.19,0.48605,0.45062,0.30891,0.90143,0.98957,0.98856,0.99368,0.95456,0.98936,0.98702,0.99331,0.88418,0.32637,0.34507,0.22295,0.81121,0.0013268,0.0013268,0.0013268
36,7560.78,0.47754,0.45109,0.3032,0.90053,0.99017,0.99472,0.99357,0.9582,0.98963,0.99417,0.99355,0.89031,0.30681,0.32756,0.20837,0.81892,0.001307,0.001307,0.001307
37,7770.1,0.47496,0.44408,0.30662,0.89794,0.99485,0.99067,0.99398,0.95874,0.99449,0.99004,0.99396,0.88355,0.3127,0.3436,0.20966,0.79953,0.0012872,0.0012872,0.0012872
38,7979.86,0.46919,0.43144,0.2985,0.89726,0.98927,0.9946,0.99365,0.96286,0.98854,0.99387,0.99364,0.884,0.2967,0.33352,0.19844,0.79881,0.0012674,0.0012674,0.0012674
39,8189.41,0.46121,0.43468,0.29868,0.8919,0.9907,0.99305,0.99337,0.95727,0.99033,0.99268,0.99332,0.88358,0.31153,0.34572,0.20696,0.80974,0.0012476,0.0012476,0.0012476
40,8400.61,0.4622,0.43464,0.2958,0.89422,0.99165,0.9947,0.99351,0.9669,0.99147,0.99451,0.99349,0.89363,0.28353,0.32801,0.19472,0.79921,0.0012278,0.0012278,0.0012278
41,8611.25,0.45691,0.42348,0.2923,0.89951,0.99015,0.99291,0.99383,0.95855,0.99266,0.9891,0.9938,0.88611,0.31068,0.32868,0.20322,0.81035,0.001208,0.001208,0.001208
42,8822.04,0.46193,0.42188,0.29644,0.89409,0.99304,0.99194,0.9934,0.96042,0.9925,0.99257,0.9934,0.88679,0.30801,0.33582,0.20052,0.8007,0.0011882,0.0011882,0.0011882
43,9032.7,0.45191,0.42737,0.2908,0.88989,0.98947,0.9947,0.99381,0.96,0.98944,0.99405,0.99381,0.88319,0.30503,0.3408,0.20098,0.80752,0.0011684,0.0011684,0.0011684
44,9243.59,0.44235,0.41151,0.28466,0.89004,0.99018,0.9925,0.99312,0.96587,0.98981,0.99214,0.99307,0.88604,0.28195,0.32482,0.19259,0.79927,0.0011486,0.0011486,0.0011486
45,9454.37,0.44733,0.41437,0.28916,0.88784,0.99191,0.99159,0.99355,0.96379,0.99154,0.99122,0.99353,0.89356,0.29635,0.32777,0.19631,0.80095,0.0011288,0.0011288,0.0011288
46,9665.13,0.43614,0.41077,0.27994,0.88917,0.99306,0.99707,0.99432,0.97314,0.99197,0.99598,0.99431,0.89994,0.26106,0.30305,0.17468,0.79589,0.001109,0.001109,0.001109
