epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13113.5,0.45583,0.30772,0.8348,0.98246,0.95376,0.97864,0.85022,0.78915,0.3387,0.6279,0.005842,0.005842,0.005842
44,13418.5,0.45472,0.31177,0.83417,0.98292,0.95205,0.97974,0.85071,0.78361,0.34105,0.62696,0.005743,0.005743,0.005743
45,13723.4,0.44957,0.30675,0.83124,0.983,0.9546,0.98015,0.85262,0.7793,0.33466,0.62668,0.005644,0.005644,0.005644
46,14028.7,0.44405,0.30378,0.83486,0.98309,0.95346,0.98065,0.85433,0.78465,0.33826,0.62599,0.005545,0.005545,0.005545
47,14334.2,0.44291,0.30224,0.83175,0.98366,0.95289,0.9807,0.85507,0.77775,0.33285,0.62641,0.005446,0.005446,0.005446
48,14639.6,0.44105,0.30225,0.83479,0.98402,0.95242,0.98208,0.85591,0.77717,0.33224,0.62684,0.005347,0.005347,0.005347
49,14945.1,0.4349,0.29741,0.83209,0.9836,0.95407,0.98135,0.8548,0.77813,0.33041,0.62615,0.005248,0.005248,0.005248
50,15250.5,0.43526,0.29744,0.83101,0.98473,0.95441,0.98185,0.85601,0.77878,0.32941,0.62601,0.005149,0.005149,0.005149
51,15555.9,0.43073,0.29457,0.83347,0.98306,0.95616,0.98171,0.85637,0.778,0.32635,0.62508,0.00505,0.00505,0.00505
52,15861.3,0.42878,0.29503,0.83074,0.98574,0.95577,0.98113,0.85421,0.78453,0.33336,0.62453,0.004951,0.004951,0.004951
53,16166.6,0.42466,0.29057,0.8289,0.98173,0.95167,0.98161,0.85702,0.78233,0.33206,0.62517,0.004852,0.004852,0.004852
54,16471.9,0.42005,0.2871,0.82891,0.98187,0.95499,0.98055,0.85622,0.77139,0.32832,0.624,0.004753,0.004753,0.004753
55,16777.2,0.42009,0.2873,0.83101,0.98413,0.95582,0.98063,0.85711,0.76839,0.32531,0.62422,0.004654,0.004654,0.004654
56,17082.5,0.41678,0.28453,0.82877,0.98353,0.95506,0.98105,0.85756,0.77634,0.32821,0.62366,0.004555,0.004555,0.004555
57,17388.2,0.41767,0.28471,0.82678,0.98359,0.95269,0.98205,0.85983,0.77791,0.32911,0.6236,0.004456,0.004456,0.004456
58,17693.7,0.40915,0.27991,0.82808,0.98352,0.95346,0.98134,0.8605,0.7671,0.32387,0.62257,0.004357,0.004357,0.004357
59,17999.3,0.40707,0.27794,0.82811,0.98532,0.95582,0.98135,0.85985,0.76922,0.32475,0.62272,0.004258,0.004258,0.004258
60,18304.7,0.40912,0.28236,0.8298,0.98258,0.95464,0.98107,0.86073,0.76198,0.32175,0.62318,0.004159,0.004159,0.004159
61,18610.4,0.40478,0.27678,0.82666,0.98448,0.9545,0.98135,0.86008,0.76283,0.32184,0.62266,0.00406,0.00406,0.00406
62,18915.7,0.4008,0.27447,0.82594,0.98351,0.95483,0.98137,0.85742,0.77273,0.32357,0.62244,0.003961,0.003961,0.003961
63,19221.5,0.39996,0.27524,0.82686,0.98441,0.95449,0.98162,0.85969,0.77031,0.32392,0.62209,0.003862,0.003862,0.003862
64,19527.1,0.39608,0.27161,0.82499,0.98449,0.95315,0.98114,0.86041,0.76591,0.32054,0.62238,0.003763,0.003763,0.003763
65,19833,0.39305,0.26771,0.82495,0.98492,0.95281,0.98119,0.86044,0.76348,0.31902,0.62211,0.003664,0.003664,0.003664
66,20138.8,0.38931,0.26618,0.82506,0.98339,0.95429,0.9808,0.85994,0.76172,0.31732,0.6215,0.003565,0.003565,0.003565
67,20444.5,0.38595,0.26303,0.82453,0.98204,0.95243,0.98038,0.86099,0.75888,0.3149,0.62049,0.003466,0.003466,0.003466
68,20750.4,0.3818,0.26209,0.82514,0.98238,0.95353,0.98066,0.86083,0.75987,0.31976,0.62106,0.003367,0.003367,0.003367
69,21055.8,0.38389,0.26125,0.82559,0.9835,0.9522,0.97981,0.8615,0.75844,0.31638,0.62098,0.003268,0.003268,0.003268
70,21361.5,0.37898,0.25677,0.82432,0.98409,0.9518,0.98012,0.86171,0.75748,0.31547,0.6209,0.003169,0.003169,0.003169
71,21666.9,0.37837,0.2556,0.82378,0.9833,0.95395,0.98065,0.86331,0.75704,0.31481,0.6203,0.00307,0.00307,0.00307
72,21972.8,0.37639,0.25471,0.82392,0.98342,0.95335,0.9809,0.86215,0.76255,0.31844,0.62053,0.002971,0.002971,0.002971
73,22278.1,0.37287,0.25485,0.82336,0.98197,0.95308,0.97948,0.86301,0.7569,0.31492,0.6203,0.002872,0.002872,0.002872
74,22584.4,0.36927,0.25137,0.82256,0.98313,0.95266,0.98071,0.86336,0.75585,0.31465,0.61958,0.002773,0.002773,0.002773
75,22890,0.3722,0.25432,0.82222,0.98218,0.95298,0.97936,0.86282,0.75637,0.31483,0.61955,0.002674,0.002674,0.002674
76,23195.6,0.36894,0.24957,0.82297,0.98353,0.95311,0.98028,0.86409,0.75633,0.31493,0.61952,0.002575,0.002575,0.002575
77,23501.2,0.36511,0.24657,0.8214,0.98327,0.95258,0.98008,0.86339,0.75516,0.3136,0.61898,0.002476,0.002476,0.002476
78,23807.3,0.36074,0.24365,0.8228,0.98432,0.95406,0.98072,0.86453,0.75371,0.31416,0.61895,0.002377,0.002377,0.002377
79,24113.3,0.36047,0.24368,0.82131,0.98576,0.9549,0.98096,0.8663,0.7502,0.31254,0.61886,0.002278,0.002278,0.002278
80,24419.2,0.35852,0.24215,0.81939,0.9853,0.95502,0.98047,0.86526,0.74943,0.31245,0.61884,0.002179,0.002179,0.002179
81,24724.9,0.354,0.23911,0.82151,0.98465,0.95521,0.981,0.8659,0.74849,0.31189,0.61858,0.00208,0.00208,0.00208
82,25030.2,0.35021,0.23631,0.8201,0.9853,0.95517,0.98106,0.86505,0.74953,0.31258,0.61835,0.001981,0.001981,0.001981
83,25335.1,0.34852,0.23511,0.82205,0.98435,0.95353,0.98103,0.86417,0.75196,0.3137,0.61836,0.001882,0.001882,0.001882
84,25639.6,0.34951,0.23499,0.82014,0.98488,0.95294,0.98162,0.86539,0.75087,0.31288,0.61816,0.001783,0.001783,0.001783
85,25944.4,0.34893,0.23158,0.8206,0.98478,0.95343,0.98108,0.86426,0.75187,0.31205,0.61787,0.001684,0.001684,0.001684
86,26248.9,0.34177,0.22879,0.81841,0.98498,0.95389,0.98112,0.86475,0.75244,0.31266,0.61755,0.001585,0.001585,0.001585
87,26553.7,0.3393,0.2271,0.81885,0.98488,0.95511,0.98132,0.86537,0.75251,0.31368,0.61733,0.001486,0.001486,0.001486
88,26857.9,0.33682,0.22488,0.8202,0.98436,0.95445,0.9816,0.86509,0.75269,0.31304,0.61731,0.001387,0.001387,0.001387
89,27162.1,0.33574,0.22365,0.81844,0.98479,0.95437,0.98221,0.86574,0.75206,0.31353,0.61716,0.001288,0.001288,0.001288
90,27466.3,0.33063,0.22176,0.81966,0.98496,0.9541,0.98181,0.86603,0.75047,0.31283,0.61651,0.001189,0.001189,0.001189
91,27768.2,0.55331,0.2912,0.7462,0.98537,0.95442,0.98189,0.87127,0.73407,0.3048,0.61612,0.00109,0.00109,0.00109
92,28069.1,0.54814,0.28946,0.74644,0.98388,0.95557,0.98219,0.87525,0.72595,0.29987,0.61558,0.000991,0.000991,0.000991
93,28370.1,0.5439,0.28433,0.74556,0.98404,0.95575,0.98259,0.87717,0.72258,0.2991,0.61522,0.000892,0.000892,0.000892
94,28671,0.54342,0.28326,0.74485,0.98327,0.95596,0.98286,0.87852,0.72123,0.29842,0.61491,0.000793,0.000793,0.000793
95,28972.2,0.53696,0.28155,0.74886,0.98373,0.95558,0.98309,0.87907,0.72048,0.29835,0.61473,0.000694,0.000694,0.000694
96,29274.1,0.53415,0.27801,0.74453,0.98377,0.95544,0.98308,0.87922,0.71969,0.298,0.61442,0.000595,0.000595,0.000595
97,29575.7,0.52793,0.27333,0.74388,0.98322,0.95513,0.98326,0.88002,0.71883,0.29778,0.61429,0.000496,0.000496,0.000496
98,29877.3,0.5275,0.27116,0.74301,0.98388,0.95502,0.9834,0.8803,0.71862,0.29798,0.61413,0.000397,0.000397,0.000397
99,30179.1,0.52254,0.27071,0.74315,0.98418,0.95501,0.98355,0.8804,0.71839,0.29811,0.61399,0.000298,0.000298,0.000298
100,30481,0.51978,0.26759,0.74269,0.98449,0.95479,0.98389,0.88068,0.71817,0.29761,0.61383,0.000199,0.000199,0.000199
